SKU,Category,Subcategory, Innovation,Feb_1,Mar_1,Apr_1,May_1,Jun_1,Jul_1,Aug_1,Sep_1,Oct_1,Nov_1,Dec_1,Jan_2,Feb_2,Mar_2,Apr_2,May_2,Jun_2,Jul_2,Aug_2,Sep_2,Oct_2,Nov_2,Dec_2,Jan_3,Feb_3,Mar_3,Apr_3,May_3,Jun_3
1,BPC,HAIR CARE,0,9379,12728,11965,13654,10195,13382,11177,10057,8534,11011,4667,16949,7037,15315,11421,9624,13190,7117,21334,7525,15779,10277,1780,3495,4287,9759,15234,4857,7581
2,BPC,HAIR CARE,0,25507,24798,30570,30380,27111,23572,21640,19705,24033,19815,18723,36699,16545,29345,22647,23814,33788,12648,35773,26324,17414,33027,11614,21445,12022,26924,43181,18559,28424
3,BPC,FACE,0,20340,9043,16561,21197,31497,26482,16598,20793,29759,16929,23736,22930,14364,23071,16347,16687,23574,12996,21581,9314,26357,24389,18517,19261,19426,18074,19367,20201,14981
4,BPC,HAIR CARE,0,52619,52590,46949,69236,46508,55785,43303,49950,54636,45727,49652,65960,35488,61443,59323,56081,61659,42703,21647,91686,42089,74578,32106,37529,48313,39457,64363,47629,49024
5,BPC,HAIR CARE,0,144861,142536,124826,172440,129818,113554,118622,143746,118431,137327,144586,148912,120160,179675,141875,152142,156384,117313,139895,160570,138752,147068,104667,144315,89817,134392,145015,157418,90244
6,BPC,HAIR CARE,0,76837,76505,69326,116590,103681,83608,80232,110945,76832,85974,105766,103347,44960,108616,87149,120526,78459,54076,157674,86074,106539,76308,95193,94722,99871,94313,85843,118831,117372
7,BPC,HAIR CARE,0,253717,185494,215267,240251,184946,225716,195264,328930,171865,223807,214046,247052,199037,266601,237691,205534,217758,247486,222099,244890,208350,230632,202326,215240,175558,202137,224651,199649,130046
8,BPC,HAIR CARE,0,72885,79572,90932,108189,69071,102414,81427,85455,82882,67708,73874,79765,70574,114045,84627,94995,90378,87817,107038,85776,85183,83390,55753,69883,64329,90044,86817,74603,50652
9,BPC,HAIR CARE,0,26135,33730,36428,46261,30571,40300,29384,32670,34197,36296,31362,51739,24555,45278,35235,49144,55358,33873,41301,31796,43241,30364,38390,36074,23522,28556,51763,26596,39348
10,BPC,HAIR CARE,0,21106,15345,23441,21087,27904,21374,15812,14594,21048,16867,19284,23013,16133,23055,21047,18429,24557,15792,20764,15262,22368,12664,20234,7609,19996,18808,15571,16945,20803
11,BPC,HAIR CARE,0,16884,18102,23070,18509,28226,18370,17394,10839,16744,13639,15893,24555,21206,16804,20905,17660,22425,16034,18455,20862,20992,11835,10581,5082,4130,13175,2669,11393,8410
12,BPC,HAIR CARE,0,34566,27343,35347,35485,36396,34976,30898,21459,35530,21421,26271,34062,28882,29293,31204,28725,33966,32465,24279,21825,42478,19963,31205,30982,29122,40143,26616,33466,30901
